Location,Property Type,Bedrooms,Bathrooms,Size_m2,Amenities,Price_KES,Listing_Date
Loresho,4 Bedroom Apartment / Flat,75,0.0,4004,,75000000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,5,300.0,41,,5300000,2026-02-17
Karen,4 Bedroom Townhouse,90,0.0,300,,90000000,2026-02-17
Kileleshwa,4 Bedroom Apartment / Flat,26,0.0,228,,26000000,2026-02-17
Kitisuru,5 Bedroom House,85,0.0,5,,85000000,2026-02-17
Lavington,5 Bedroom House,125,0.0,630,,125000000,2026-02-17
Kilimani,5 Bedroom Apartment / Flat,28,200.0,250,,28200000,2026-02-17
Kileleshwa,3 Bedroom Apartment / Flat,24,0.0,205,,24000000,2026-02-17
Kiambu Road,7 Bedroom House,85,0.0,7,,85000000,2026-02-17
Spring Valley,5 Bedroom Townhouse,65,0.0,84,,65000000,2026-02-17
Kileleshwa,2 Bedroom Apartment / Flat,10,400.0,111,,10400000,2026-02-17
Kileleshwa,2 Bedroom Apartment / Flat,11,200.0,119,,11200000,2026-02-17
Kileleshwa,2 Bedroom Apartment / Flat,12,500.0,128,,12500000,2026-02-17
Kileleshwa,2 Bedroom Apartment / Flat,12,700.0,135,,12700000,2026-02-17
Kileleshwa,2 Bedroom Apartment / Flat,12,800.0,136,,12800000,2026-02-17
