Location,Property Type,Bedrooms,Bathrooms,Size (sqm),Amenities,Price (KES),Listing Date,size_sqft,price_per_sqft,amenity_score,month,year,log_price
kilimani,Apartment,2.0,2.0,64.0,"Aircon, Alarm, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Scenic View, School, Shopping Centre, Swimming Pool, Wheelchair Access",6300000,2025-11-17,688.8896,9145.151850165832,21,11,2025,15.65606019136176
lavington,Apartment,1.0,1.0,284.94117647058823,"1 Bed, 1 Bed Apartment with En Suite in Lavington, Aircon, Alarm, Apartments, Apartments for sale in Lavington, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lavington, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",3000000,2026-02-20,3067.0783294117646,978.1295675534216,33,2,2026,14.914122846632385
kileleshwa,Apartment,3.0,4.0,125.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",13500000,2026-02-20,1345.4875,10033.538029896228,25,2,2026,16.41820024340866
westlands area,Apartment,1.0,1.0,76.0,"2 Bed, 2 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",8000000,2026-02-20,818.0563999999999,9779.276832257532,36,2,2026,15.89495209964411
kilimani,Apartment,4.0,4.0,116.0,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Golf Course, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Shopping Centre, Swimming Pool, Wheelchair Access",12000000,2026-02-19,1248.6124,9610.668611011712,24,2,2026,16.300417207752275
lavington,Apartment,2.0,1.0,284.94117647058823,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",6000000,2026-02-20,3067.0783294117646,1956.2591351068431,25,2,2026,15.60727002719233
lavington,Apartment,4.0,5.0,130.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",13500000,2026-02-20,1399.307,9647.632721054064,25,2,2026,16.41820024340866
kilimani,Apartment,1.0,1.0,41.0,"1 Bed, 1 Bed Apartment with En Suite in Kilimani, Aircon, Alarm, Apartments, Apartments for sale in Kilimani, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kilimani, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",4000000,2026-02-20,441.31989999999996,9063.719990872834,33,2,2026,15.201804919084164
lavington,Apartment,2.0,2.0,50.0,"2 Bed, 2 Bed Apartment with En Suite in Lavington, Aircon, Alarm, Apartments, Apartments for sale in Lavington, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lavington, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",6000000,2026-02-20,538.1949999999999,11148.375588773588,33,2,2026,15.60727002719233
lavington,Apartment,3.0,3.0,284.94117647058823,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",9000000,2026-02-20,3067.0783294117646,2934.3887026602647,25,2,2026,16.012735135300492
kileleshwa,Apartment,1.0,1.0,146.0625,"1 Bed, 1 Bed Apartment with En Suite in Kileleshwa, Aircon, Alarm, Apartments, Apartments for sale in Kileleshwa, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kileleshwa, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",3000000,2026-02-20,1572.20214375,1908.1515770258598,33,2,2026,14.914122846632385
westlands area,Apartment,1.0,1.0,113.33333333333333,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",4000000,2026-02-20,1219.9086666666665,3278.933996698114,25,2,2026,15.201804919084164
kileleshwa,Apartment,4.0,5.0,110.0,"BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Scenic View, School, Shopping Centre, Swimming Pool, Walk In Closet",12500000,2026-02-16,1184.029,10557.17385300529,20,2,2026,16.34123920227253
